x,pdf_1,cdf_1,quantile_1,pdf_2,cdf_2,quantile_2,pdf_5,cdf_5,quantile_5,pdf_10,cdf_10,quantile_10,pdf_100,cdf_100,quantile_100
-40.00000000000000000,1.98819416729413e-04,0.00795608991202581,NaN,1.55957488347037e-05,0.000312207336092370,NaN,1.14767457390987e-08,9.20598108588648e-08,NaN,2.83483816064243e-13,1.14042887154287e-12,NaN, 2.89836994851348e-63,1.23105380107004e-63,NaN
-39.99000000000000199,1.98918801582246e-04,0.00795807860305530,NaN,1.56074368779841e-05,0.000312363352011208,NaN,1.14939222008355e-08,9.21746641736016e-08,NaN,2.84259709974049e-13,1.14326758724615e-12,NaN, 2.96808160415629e-63,1.26038466531422e-63,NaN
-39.97999999999999687,1.99018260958163e-04,0.00796006828830587,NaN,1.56191365998081e-05,0.000312519484868859,NaN,1.15111286479424e-08,9.22896894028329e-08,NaN,2.85037919923478e-13,1.14611407346249e-12,NaN, 3.03948590611907e-63,1.29042107519632e-63,NaN
-39.96999999999999886,1.99117794931675e-04,0.00796205896852312,NaN,1.56308480147611e-05,0.000312675734782181,NaN,1.15283651402316e-08,9.24048868467111e-08,NaN,2.85818453399948e-13,1.14896835338971e-12,NaN, 3.11262433966727e-63,1.32118016376119e-63,NaN
-39.96000000000000085,1.99217403577384e-04,0.00796405064445341,NaN,1.56425711374503e-05,0.000312832101868179,NaN,1.15456317376498e-08,9.25202568059877e-08,NaN,2.86601317916942e-13,1.15183045030062e-12,NaN, 3.18753941630115e-63,1.35267948401645e-63,NaN
-39.95000000000000284,1.99317086969990e-04,0.00796604331684382,NaN,1.56543059825048e-05,0.000312988586244005,NaN,1.15629285002780e-08,9.26357995820148e-08,NaN,2.87386521014099e-13,1.15470038754331e-12,NaN, 3.26427469937576e-63,1.38493701932225e-63,NaN
-39.93999999999999773,1.99416845184280e-04,0.00796803698644221,NaN,1.56660525645757e-05,0.000313145188026953,NaN,1.15802554883321e-08,9.27515154767448e-08,NaN,2.88174070257314e-13,1.15757818854138e-12,NaN, 3.34287483036728e-63,1.41797119404088e-63,NaN
-39.92999999999999972,1.99516678295141e-04,0.00797003165399717,NaN,1.56778108983361e-05,0.000313301907334468,NaN,1.15976127621631e-08,9.28674047927339e-08,NaN,2.88963973238832e-13,1.16046387679424e-12,NaN, 3.42338555580018e-63,1.45180088445188e-63,NaN
-39.92000000000000171,1.99616586377548e-04,0.00797202732025802,NaN,1.56895809984811e-05,0.000313458744284141,NaN,1.16150003822579e-08,9.29834678331423e-08,NaN,2.89756237577356e-13,1.16335747587735e-12,NaN, 3.50585375485357e-63,1.48644542993996e-63,NaN
-39.90999999999999659,1.99716569506574e-04,0.00797402398597487,NaN,1.57013628797277e-05,0.000313615698993708,NaN,1.16324184092388e-08,9.30997049017354e-08,NaN,2.90550870918131e-13,1.16625900944246e-12,NaN, 3.59032746766348e-63,1.52192464446257e-63,NaN
