x,pdf_1,cdf_1,q_1,pdf_5,cdf_5,q_5,pdf_10,cdf_10,q_10,pdf_100,cdf_100,q_100
  0.000000000000000000000, 3.6787944117144233402e-01,0.36787944117144233402,  0,6.7379469990854670008e-03,0.0067379469990854670008,  0,4.5399929762484854173e-05,4.5399929762484854173e-05,  0,3.7200759760208361200e-44,3.7200759760208361200e-44,  0
  0.010000000000000000208, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  1,0.0000000000000000000e+00,4.5399929762484854173e-05,  3,0.0000000000000000000e+00,3.7200759760208361200e-44, 77
  0.020000000000000000416, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  1,0.0000000000000000000e+00,4.5399929762484854173e-05,  4,0.0000000000000000000e+00,3.7200759760208361200e-44, 80
  0.029999999999999998890, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  1,0.0000000000000000000e+00,4.5399929762484854173e-05,  5,0.0000000000000000000e+00,3.7200759760208361200e-44, 82
  0.040000000000000000833, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  1,0.0000000000000000000e+00,4.5399929762484854173e-05,  5,0.0000000000000000000e+00,3.7200759760208361200e-44, 83
  0.050000000000000002776, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  5,0.0000000000000000000e+00,3.7200759760208361200e-44, 84
  0.059999999999999997780, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  5,0.0000000000000000000e+00,3.7200759760208361200e-44, 85
  0.070000000000000006661, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  6,0.0000000000000000000e+00,3.7200759760208361200e-44, 85
  0.080000000000000001665, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  6,0.0000000000000000000e+00,3.7200759760208361200e-44, 86
  0.089999999999999996669, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  6,0.0000000000000000000e+00,3.7200759760208361200e-44, 87
  0.100000000000000005551, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  6,0.0000000000000000000e+00,3.7200759760208361200e-44, 87
  0.110000000000000000555, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  6,0.0000000000000000000e+00,3.7200759760208361200e-44, 88
  0.119999999999999995559, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  2,0.0000000000000000000e+00,4.5399929762484854173e-05,  6,0.0000000000000000000e+00,3.7200759760208361200e-44, 88
  0.130000000000000004441, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  3,0.0000000000000000000e+00,4.5399929762484854173e-05,  6,0.0000000000000000000e+00,3.7200759760208361200e-44, 89
  0.140000000000000013323, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  3,0.0000000000000000000e+00,4.5399929762484854173e-05,  7,0.0000000000000000000e+00,3.7200759760208361200e-44, 89
  0.149999999999999994449, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  3,0.0000000000000000000e+00,4.5399929762484854173e-05,  7,0.0000000000000000000e+00,3.7200759760208361200e-44, 90
  0.160000000000000003331, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  3,0.0000000000000000000e+00,4.5399929762484854173e-05,  7,0.0000000000000000000e+00,3.7200759760208361200e-44, 90
  0.170000000000000012212, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  3,0.0000000000000000000e+00,4.5399929762484854173e-05,  7,0.0000000000000000000e+00,3.7200759760208361200e-44, 90
  0.179999999999999993339, 0.0000000000000000000e+00,0.36787944117144233402,  0,0.0000000000000000000e+00,0.0067379469990854670008,  3,0.0000000000000000000e+00,4.5399929762484854173e-05,  7,0.0000000000000000000e+00,3.7200759760208361200e-44, 91
