"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: chunk","Param: n"
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.006707,0.001052,"ms/op",192,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,3.454035,0.179225,"ms/op",192,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,15.567964,0.512593,"ms/op",192,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,42.475281,0.632529,"ms/op",192,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,113.039778,1.401667,"ms/op",192,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,386.901673,6.349461,"ms/op",192,1500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,1131.383257,161.567000,"ms/op",192,2000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,2112.389499,115.182990,"ms/op",192,2500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.006761,0.000972,"ms/op",256,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.025499,0.004120,"ms/op",256,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,16.760563,0.329214,"ms/op",256,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,49.330219,3.827366,"ms/op",256,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,122.147649,7.557606,"ms/op",256,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,421.476255,11.503526,"ms/op",256,1500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,933.483534,59.205732,"ms/op",256,2000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,2798.007967,2137.355707,"ms/op",256,2500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.006678,0.000733,"ms/op",384,100
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,0.025968,0.003548,"ms/op",384,250
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,25.214347,0.594971,"ms/op",384,500
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,60.512574,3.726611,"ms/op",384,750
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,162.229878,9.560516,"ms/op",384,1000
"algebra.rapaio.MatrixDotBenchmark.testDotRC","avgt",1,5,511.840311,31.046355,"ms/op",384,1500
