"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorAddVectorToVectorBenchmark.testDense","avgt",1,5,0.000148,0.000052,"ms/op",1000
"algebra.rapaio.DVectorAddVectorToVectorBenchmark.testDense","avgt",1,5,1.572151,0.088352,"ms/op",1000000
"algebra.rapaio.DVectorAddVectorToVectorBenchmark.testVArray","avgt",1,5,0.000178,0.000013,"ms/op",1000
"algebra.rapaio.DVectorAddVectorToVectorBenchmark.testVArray","avgt",1,5,1.612543,0.045504,"ms/op",1000000
