"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"darray.SimdBenchmark.sqrOpWithLoop","thrpt",1,3,29137.775538,27493.430152,"ops/ms",15
"darray.SimdBenchmark.sqrOpWithLoop","thrpt",1,3,24392.279490,39611.364476,"ops/ms",105
"darray.SimdBenchmark.sqrOpWithLoop","thrpt",1,3,6078.684096,10459.320917,"ops/ms",1325
"darray.SimdBenchmark.sqrOpWithoutLoop","thrpt",1,3,40196.016144,115592.304330,"ops/ms",15
"darray.SimdBenchmark.sqrOpWithoutLoop","thrpt",1,3,34012.325983,25786.050008,"ops/ms",105
"darray.SimdBenchmark.sqrOpWithoutLoop","thrpt",1,3,7186.786979,18309.577856,"ops/ms",1325
