"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: n"
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.000130,0.000011,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.000439,0.000240,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.003234,0.000288,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.072102,0.027576,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testBase","avgt",1,5,0.968497,0.206838,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.000126,0.000004,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.000403,0.000159,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.004160,0.004687,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.078226,0.008826,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testDense","avgt",1,5,0.967785,0.170444,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.000179,0.000008,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.000876,0.000071,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.012198,0.000590,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,0.139241,0.031797,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testMap","avgt",1,5,2.079223,0.638714,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.000142,0.000021,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.001009,0.000039,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.009781,0.000928,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,0.118500,0.012800,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testStride","avgt",1,5,2.103088,0.364303,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.000115,0.000004,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.000379,0.000178,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.003505,0.000243,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.069852,0.012575,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarDense","avgt",1,5,0.979460,0.311033,"ms/op",1000000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.000135,0.000018,"ms/op",100
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.000871,0.000219,"ms/op",1000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.012261,0.000799,"ms/op",10000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,0.120802,0.023084,"ms/op",100000
"algebra.rapaio.DVectorAddScalarBenchmark.testVarMap","avgt",1,5,2.035105,0.876675,"ms/op",1000000
