*************************************************
  n = 100   number of corrections = 5
       initial values
 f =  1209.9999999999995   gnorm =  1646.623211302451
*************************************************
	i	nfn	func	gnorm	steplength
	1	2	254.06529844571506	325.3654794369532	6.073034760690741E-4
	2	3	207.81880203407715	54.52043168588771	1.0
	3	4	206.3291507019513	12.687299850131478	1.0
	4	5	206.15844568960662	12.97054248323166	1.0
	5	6	204.5678456965679	36.064903295559134	1.0
	6	7	201.0094372004203	69.97015214668981	1.0
	7	11	132.0758614567623	99.10135319247112	2.308346701739148
	8	13	131.55683402622435	80.10326454320003	0.1524355030945
	9	15	120.19634067292273	66.24399158291132	5.0
	10	16	105.9482950941662	116.62706737471676	1.0
	11	17	87.40016532530913	17.132491452436582	1.0
	12	18	72.77726062183008	32.69679126283766	1.0
	13	20	67.73055206169346	49.58514091976311	0.21366183632087965
	14	21	60.09132802349405	52.86780516534298	1.0
	15	22	45.949250149787076	28.079553225929818	1.0
	16	23	37.3669111798051	39.34871588344866	1.0
	17	24	23.04923813108662	14.586694788879118	1.0
	18	26	19.846763818859742	17.976190971553404	0.1567084445901764
	19	27	17.66772948322983	48.60453475283912	1.0
	20	28	13.946540025620127	22.2497644479062	1.0
	21	29	9.116039598234147	28.01051413504546	1.0
	22	30	5.821593371012087	10.215071102282428	1.0
	23	32	4.759707087827105	28.511015294496403	0.43618148533529877
	24	33	2.3580734888260872	22.65000691338413	1.0
	25	34	1.557338618186901	15.475227595861682	1.0
	26	36	0.8104982294709409	2.3864975414134992	0.4046321765614037
	27	38	0.5087025915896217	9.9449892406875	0.2475122431613055
	28	39	0.3634468899137064	15.212878994179144	1.0
	29	40	0.16724709952520958	9.772802836532263	1.0
	30	41	0.037237261107876535	1.32585635051252	1.0
	31	42	0.009831601453161865	4.1419431389224215	1.0
	32	43	4.7109807473003437E-4	0.5675946320690397	1.0
	33	44	3.2788010270217695E-6	0.027547039721270785	1.0
	34	45	2.3404386226737127E-8	0.006073633074318657	1.0
	35	46	2.094688854675941E-13	1.3153506656671171E-5	1.0
 The minimization terminated without detecting errors. iflag = 0
