x,pdf,cdf,quantile
-40.00000000000000000, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.99000000000000199, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.97999999999999687, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.96999999999999886, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.96000000000000085, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.95000000000000284, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.93999999999999773, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.92999999999999972, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.92000000000000171, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.90999999999999659, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.89999999999999858, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.89000000000000057, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.88000000000000256, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.86999999999999744, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.85999999999999943, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.85000000000000142, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.84000000000000341, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.82999999999999829, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.82000000000000028, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.81000000000000227, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.79999999999999716, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.78999999999999915, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.78000000000000114, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.77000000000000313, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.75999999999999801, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.75000000000000000, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.74000000000000199, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.72999999999999687, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.71999999999999886, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.71000000000000085, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.70000000000000284, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.68999999999999773, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.67999999999999972, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.67000000000000171, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.65999999999999659, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.64999999999999858, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.64000000000000057, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.63000000000000256, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.61999999999999744, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.60999999999999943, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.60000000000000142, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.59000000000000341, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.57999999999999829, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.57000000000000028, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.56000000000000227, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.54999999999999716, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.53999999999999915, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.53000000000000114, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.52000000000000313, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.50999999999999801, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.50000000000000000, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.49000000000000199, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.47999999999999687, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.46999999999999886, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.46000000000000085, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.45000000000000284, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.43999999999999773, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.42999999999999972, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.42000000000000171, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.40999999999999659, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.39999999999999858, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.39000000000000057, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.38000000000000256, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.36999999999999744, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.35999999999999943, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.35000000000000142, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.34000000000000341, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.32999999999999829, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.32000000000000028, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.31000000000000227, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.29999999999999716, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.28999999999999915, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.28000000000000114, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.27000000000000313, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.25999999999999801, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.25000000000000000, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.24000000000000199, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.22999999999999687, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.21999999999999886, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.21000000000000085, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.20000000000000284, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.18999999999999773, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.17999999999999972, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.17000000000000171, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.15999999999999659, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.14999999999999858, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.14000000000000057, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.13000000000000256, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.11999999999999744, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.10999999999999943, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.10000000000000142, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.09000000000000341, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.07999999999999829, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.07000000000000028, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.06000000000000227, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.04999999999999716, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.03999999999999915, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
-39.03000000000000114, 0.00000000000000e+00, 0.00000000000000e+00,                NaN
